Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,A-xAG,KP,1/3,PPA,CrsPA,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Comp
1,Dickson Abiama,ng NGA,"MF,FW",Kaiserslautern,25,1998,5,2,206,2.3,0,0,0,0,0,0,1,0,0.00,1,ng NGA,"MF,FW",25,1998,2.3,0,1,1,100.0,0.44,0.44,0.00,0.00,,0,0,1,ng NGA,"MF,FW",25,1998,2.3,,,,,,0,,,,,,1,ng NGA,"MF,FW",25,1998,2.3,,,,,,,10,,,,,,,,,1,ng NGA,"MF,FW",25,1998,2.3,,,,,,,,,,,1,ng NGA,"MF,FW",25,1998,2.3,,4,,,,,,,,,,0,,,,1,ng NGA,"MF,FW",25,1998,2.3,,,,,,,,,,,,,,,,,,,,,1,ng NGA,"MF,FW",25,1998,5,206,41,6.7,2.3,2,82,0,3,14,1,1.60,2,2,0,0.00,-0.03,1,ng NGA,"MF,FW",25,1998,2.3,1,0,0,6,5,0,10,0,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
2,Ragnar Ache,de GER,FW,Kaiserslautern,26,1998,30,24,2038,22.6,18,1,19,18,0,0,1,0,0.84,2,de GER,FW,26,1998,22.6,18,109,54,49.5,4.81,2.38,0.17,0.33,,0,0,2,de GER,FW,26,1998,22.6,,,,,,1,,,,,,2,de GER,FW,26,1998,22.6,,,,,,,7,,,,,,,,,2,de GER,FW,26,1998,22.6,,,,,,,,,,,2,de GER,FW,26,1998,22.6,,5,,,,,,,,,,3,,,,2,de GER,FW,26,1998,22.6,,,,,,,,,,,,,,,,,,,,,2,de GER,FW,26,1998,30,2038,68,66.6,22.6,24,80,9,6,21,0,1.57,36,32,+4,+0.18,+0.44,2,de GER,FW,26,1998,22.6,1,0,0,28,35,13,7,3,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
3,Sargis Adamyan,am ARM,FW,Jahn R'burg,31,1993,16,14,1110,12.3,2,0,2,2,0,0,4,0,0.16,3,am ARM,FW,31,1993,12.3,2,32,13,40.6,2.59,1.05,0.06,0.15,,0,0,3,am ARM,FW,31,1993,12.3,,,,,,0,,,,,,3,am ARM,FW,31,1993,12.3,,,,,,,67,,,,,,,,,3,am ARM,FW,31,1993,12.3,,,,,,,,,,,3,am ARM,FW,31,1993,12.3,,9,,,,,,,,,,3,,,,3,am ARM,FW,31,1993,12.3,,,,,,,,,,,,,,,,,,,,,3,am ARM,FW,31,1993,16,1110,69,36.3,12.3,14,76,3,2,26,0,0.81,8,24,-16,-1.30,+0.18,3,am ARM,FW,31,1993,12.3,4,0,0,28,13,12,67,3,9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
4,Sargis Adamyan,am ARM,"FW,MF",Köln,31,1993,6,0,130,1.4,0,0,0,0,0,0,0,0,0.00,4,am ARM,"FW,MF",31,1993,1.4,0,2,0,0.0,1.38,0.00,0.00,,,0,0,4,am ARM,"FW,MF",31,1993,1.4,,,,,,0,,,,,,4,am ARM,"FW,MF",31,1993,1.4,,,,,,,5,,,,,,,,,4,am ARM,"FW,MF",31,1993,1.4,,,,,,,,,,,4,am ARM,"FW,MF",31,1993,1.4,,1,,,,,,,,,,1,,,,4,am ARM,"FW,MF",31,1993,1.4,,,,,,,,,,,,,,,,,,,,,4,am ARM,"FW,MF",31,1993,6,130,22,4.2,1.4,0,,0,6,22,3,1.00,3,4,-1,-0.69,-1.18,4,am ARM,"FW,MF",31,1993,1.4,0,0,0,4,3,3,5,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
5,Aremu Afeez,ng NGA,MF,Kaiserslautern,24,1999,12,9,649,7.2,0,0,0,0,0,0,4,0,0.00,5,ng NGA,MF,24,1999,7.2,0,4,3,75.0,0.55,0.42,0.00,0.00,,0,0,5,ng NGA,MF,24,1999,7.2,,,,,,0,,,,,,5,ng NGA,MF,24,1999,7.2,,,,,,,0,,,,,,,,,5,ng NGA,MF,24,1999,7.2,,,,,,,,,,,5,ng NGA,MF,24,1999,7.2,,14,,,,,,,,,,10,,,,5,ng NGA,MF,24,1999,7.2,,,,,,,,,,,,,,,,,,,,,5,ng NGA,MF,24,1999,12,649,54,21.2,7.2,9,66,2,3,18,3,2.17,16,11,+5,+0.69,+0.84,5,ng NGA,MF,24,1999,7.2,4,0,0,9,13,0,0,10,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
6,Karim Affo,de GER,FW,Düsseldorf,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,6,de GER,FW,18,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,6,de GER,FW,18,2006,0.1,,,,,,0,,,,,,6,de GER,FW,18,2006,0.1,,,,,,,1,,,,,,,,,6,de GER,FW,18,2006,0.1,,,,,,,,,,,6,de GER,FW,18,2006,0.1,,1,,,,,,,,,,0,,,,6,de GER,FW,18,2006,0.1,,,,,,,,,,,,,,,,,,,,,6,de GER,FW,18,2006,1,5,5,0.2,0.1,0,,0,1,5,11,3.00,0,0,0,0.00,-0.15,6,de GER,FW,18,2006,0.1,0,0,0,0,1,1,1,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
7,Joel Agyekum,de GER,DF,Hamburger SV,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,7,de GER,DF,19,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,7,de GER,DF,19,2005,0.0,,,,,,0,,,,,,7,de GER,DF,19,2005,0.0,,,,,,,0,,,,,,,,,7,de GER,DF,19,2005,0.0,,,,,,,,,,,7,de GER,DF,19,2005,0.0,,0,,,,,,,,,,0,,,,7,de GER,DF,19,2005,0.0,,,,,,,,,,,,,,,,,,,,,7,de GER,DF,19,2005,1,1,1,0.0,0.0,0,,0,1,1,4,3.00,0,0,0,0.00,-1.00,7,de GER,DF,19,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
8,Alexander Ahl Holmström,se SWE,FW,Magdeburg,25,1999,8,2,270,3.0,0,0,0,0,0,0,1,0,0.00,8,se SWE,FW,25,1999,3.0,0,8,1,12.5,2.67,0.33,0.00,0.00,,0,0,8,se SWE,FW,25,1999,3.0,,,,,,0,,,,,,8,se SWE,FW,25,1999,3.0,,,,,,,0,,,,,,,,,8,se SWE,FW,25,1999,3.0,,,,,,,,,,,8,se SWE,FW,25,1999,3.0,,0,,,,,,,,,,0,,,,8,se SWE,FW,25,1999,3.0,,,,,,,,,,,,,,,,,,,,,8,se SWE,FW,25,1999,8,270,34,8.8,3.0,2,71,0,6,22,2,1.00,4,2,+2,+0.67,+0.34,8,se SWE,FW,25,1999,3.0,1,0,0,4,0,2,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
9,Faride Alidou,de GER,FW,Kaiserslautern,23,2001,12,0,242,2.7,0,1,1,0,0,0,2,0,0.37,9,de GER,FW,23,2001,2.7,0,8,2,25.0,2.98,0.74,0.00,0.00,,0,0,9,de GER,FW,23,2001,2.7,,,,,,1,,,,,,9,de GER,FW,23,2001,2.7,,,,,,,6,,,,,,,,,9,de GER,FW,23,2001,2.7,,,,,,,,,,,9,de GER,FW,23,2001,2.7,,3,,,,,,,,,,1,,,,9,de GER,FW,23,2001,2.7,,,,,,,,,,,,,,,,,,,,,11,de GER,FW,23,2001,12,242,20,7.9,2.7,0,,0,12,20,4,1.42,5,5,0,0.00,-0.03,9,de GER,FW,23,2001,2.7,2,0,0,6,3,1,6,1,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
10,Bastian Allgeier,de GER,"MF,DF",Ulm,22,2002,24,19,1752,19.5,0,2,2,0,0,0,3,0,0.10,10,de GER,"MF,DF",22,2002,19.5,0,1,0,0.0,0.05,0.00,0.00,,,0,0,10,de GER,"MF,DF",22,2002,19.5,,,,,,2,,,,,,10,de GER,"MF,DF",22,2002,19.5,,,,,,,43,,,,,,,,,10,de GER,"MF,DF",22,2002,19.5,,,,,,,,,,,10,de GER,"MF,DF",22,2002,19.5,,15,,,,,,,,,,14,,,,10,de GER,"MF,DF",22,2002,19.5,,,,,,,,,,,,,,,,,,,,,12,de GER,"MF,DF",22,2002,24,1752,73,57.3,19.5,19,88,15,5,18,8,0.96,25,32,-7,-0.36,-0.02,10,de GER,"MF,DF",22,2002,19.5,3,0,0,11,2,2,43,14,15,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
11,Xavier Amaechi,eng ENG,"FW,MF",Magdeburg,23,2001,25,13,1069,11.9,5,4,9,5,0,0,2,0,0.76,11,eng ENG,"FW,MF",23,2001,11.9,5,27,11,40.7,2.27,0.93,0.19,0.45,,0,0,11,eng ENG,"FW,MF",23,2001,11.9,,,,,,4,,,,,,11,eng ENG,"FW,MF",23,2001,11.9,,,,,,,38,,,,,,,,,11,eng ENG,"FW,MF",23,2001,11.9,,,,,,,,,,,11,eng ENG,"FW,MF",23,2001,11.9,,9,,,,,,,,,,6,,,,11,eng ENG,"FW,MF",23,2001,11.9,,,,,,,,,,,,,,,,,,,,,13,eng ENG,"FW,MF",23,2001,25,1069,43,34.9,11.9,13,59,0,12,25,5,1.56,24,19,+5,+0.42,+0.10,11,eng ENG,"FW,MF",23,2001,11.9,2,0,0,21,24,5,38,6,9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
12,Etienne Amenyido,tg TOG,"FW,MF",Preußen Münster,26,1998,23,12,1032,11.5,0,2,2,0,0,0,4,0,0.17,12,tg TOG,"FW,MF",26,1998,11.5,0,18,6,33.3,1.57,0.52,0.00,0.00,,0,0,12,tg TOG,"FW,MF",26,1998,11.5,,,,,,2,,,,,,12,tg TOG,"FW,MF",26,1998,11.5,,,,,,,14,,,,,,,,,12,tg TOG,"FW,MF",26,1998,11.5,,,,,,,,,,,12,tg TOG,"FW,MF",26,1998,11.5,,13,,,,,,,,,,4,,,,12,tg TOG,"FW,MF",26,1998,11.5,,,,,,,,,,,,,,,,,,,,,14,tg TOG,"FW,MF",26,1998,23,1032,45,33.7,11.5,12,66,2,11,22,3,1.04,15,13,+2,+0.17,+0.40,12,tg TOG,"FW,MF",26,1998,11.5,4,0,0,36,32,3,14,4,13,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
13,Zaid Amoussou-Tchibara,de GER,FW,Schalke 04,18,2006,2,0,48,0.5,0,0,0,0,0,0,0,0,0.00,13,de GER,FW,18,2006,0.5,0,0,0,,0.00,0.00,,,,0,0,13,de GER,FW,18,2006,0.5,,,,,,0,,,,,,13,de GER,FW,18,2006,0.5,,,,,,,0,,,,,,,,,13,de GER,FW,18,2006,0.5,,,,,,,,,,,13,de GER,FW,18,2006,0.5,,0,,,,,,,,,,0,,,,13,de GER,FW,18,2006,0.5,,,,,,,,,,,,,,,,,,,,,15,de GER,FW,18,2006,2,48,24,1.6,0.5,0,,0,2,24,0,1.50,0,0,0,0.00,+0.30,13,de GER,FW,18,2006,0.5,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
14,Frederic Ananou,tg TOG,"MF,DF",Jahn R'burg,26,1997,11,9,758,8.4,0,0,0,0,0,0,0,0,0.00,14,tg TOG,"MF,DF",26,1997,8.4,0,4,1,25.0,0.47,0.12,0.00,0.00,,0,0,14,tg TOG,"MF,DF",26,1997,8.4,,,,,,0,,,,,,14,tg TOG,"MF,DF",26,1997,8.4,,,,,,,16,,,,,,,,,14,tg TOG,"MF,DF",26,1997,8.4,,,,,,,,,,,14,tg TOG,"MF,DF",26,1997,8.4,,6,,,,,,,,,,8,,,,14,tg TOG,"MF,DF",26,1997,8.4,,,,,,,,,,,,,,,,,,,,,16,tg TOG,"MF,DF",26,1997,11,758,69,24.8,8.4,9,77,4,2,31,3,0.64,6,18,-12,-1.42,-0.02,14,tg TOG,"MF,DF",26,1997,8.4,0,0,0,9,6,1,16,8,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
