Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,A-xAG,KP,1/3,PPA,CrsPA,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Comp
97,Baris Ekincier,az AZE,MF,Bochum,19,1999,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,97,az AZE,MF,19,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,97,az AZE,MF,19,1999,0.2,,,,,,0,,,,,,97,az AZE,MF,19,1999,0.2,,,,,,,0,,,,,,,,,97,az AZE,MF,19,1999,0.2,,,,,,,,,,,97,az AZE,MF,19,1999,0.2,,2,,,,,,,,,,0,,,,97,az AZE,MF,19,1999,0.2,,,,,,,,,,,,,,,,,,,,,112,az AZE,MF,19,1999,1,17,17,0.6,0.2,0,,0,1,16,10,0.00,0,0,0,0.00,+0.03,97,az AZE,MF,19,1999,0.2,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
98,Ahmet Engin,de GER,MF,MSV Duisburg,21,1996,28,16,1519,16.9,1,3,4,1,0,0,2,0,0.24,98,de GER,MF,21,1996,16.9,1,19,3,15.8,1.13,0.18,0.05,0.33,,0,0,98,de GER,MF,21,1996,16.9,,,,,,3,,,,,,98,de GER,MF,21,1996,16.9,,,,,,,72,,,,,,,,,98,de GER,MF,21,1996,16.9,,,,,,,,,,,98,de GER,MF,21,1996,16.9,,8,,,,,,,,,,6,,,,98,de GER,MF,21,1996,16.9,,,,,,,,,,,,,,,,,,,,,113,de GER,MF,21,1996,28,1519,54,49.6,16.9,16,87,11,12,10,2,1.00,17,30,-13,-0.77,-0.01,98,de GER,MF,21,1996,16.9,2,0,0,11,27,11,72,6,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
99,Dennis Erdmann,de GER,DF,Magdeburg,27,1990,29,28,2485,27.6,1,0,1,1,0,0,12,1,0.04,99,de GER,DF,27,1990,27.6,1,16,5,31.3,0.58,0.18,0.06,0.20,,0,0,99,de GER,DF,27,1990,27.6,,,,,,0,,,,,,99,de GER,DF,27,1990,27.6,,,,,,,9,,,,,,,,,99,de GER,DF,27,1990,27.6,,,,,,,,,,,99,de GER,DF,27,1990,27.6,,23,,,,,,,,,,55,,,,99,de GER,DF,27,1990,27.6,,,,,,,,,,,,,,,,,,,,,114,de GER,DF,27,1990,29,2485,86,81.2,27.6,28,88,26,1,22,2,1.03,26,38,-12,-0.43,+0.50,99,de GER,DF,27,1990,27.6,12,1,1,40,45,4,9,55,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
100,Sebastian Ernst,de GER,MF,Greuther Fürth,23,1995,31,31,2669,29.7,1,2,3,1,0,0,4,0,0.10,100,de GER,MF,23,1995,29.7,1,43,10,23.3,1.45,0.34,0.02,0.10,,0,0,100,de GER,MF,23,1995,29.7,,,,,,2,,,,,,100,de GER,MF,23,1995,29.7,,,,,,,24,,,,,,,,,100,de GER,MF,23,1995,29.7,,,,,,,,,,,100,de GER,MF,23,1995,29.7,,49,,,,,,,,,,20,,,,100,de GER,MF,23,1995,29.7,,,,,,,,,,,,,,,,,,,,,115,de GER,MF,23,1995,31,2669,86,87.2,29.7,31,86,21,0,,0,1.23,33,45,-12,-0.40,+1.21,100,de GER,MF,23,1995,29.7,4,0,0,50,40,0,24,20,49,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
101,Franck Evina,cm CMR,FW,Holstein Kiel,18,2000,9,1,226,2.5,0,0,0,0,0,0,1,0,0.00,101,cm CMR,FW,18,2000,2.5,0,4,1,25.0,1.59,0.40,0.00,0.00,,0,0,101,cm CMR,FW,18,2000,2.5,,,,,,0,,,,,,101,cm CMR,FW,18,2000,2.5,,,,,,,8,,,,,,,,,101,cm CMR,FW,18,2000,2.5,,,,,,,,,,,101,cm CMR,FW,18,2000,2.5,,1,,,,,,,,,,0,,,,101,cm CMR,FW,18,2000,2.5,,,,,,,,,,,,,,,,,,,,,116,cm CMR,FW,18,2000,9,226,25,7.4,2.5,1,93,0,8,17,5,0.67,2,5,-3,-1.19,-1.58,101,cm CMR,FW,18,2000,2.5,1,0,0,8,6,0,8,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
102,Patrick Fabian,de GER,DF,Bochum,30,1987,18,14,1287,14.3,2,1,3,2,0,0,3,0,0.21,102,de GER,DF,30,1987,14.3,2,10,3,30.0,0.70,0.21,0.20,0.67,,0,0,102,de GER,DF,30,1987,14.3,,,,,,1,,,,,,102,de GER,DF,30,1987,14.3,,,,,,,0,,,,,,,,,102,de GER,DF,30,1987,14.3,,,,,,,,,,,102,de GER,DF,30,1987,14.3,,19,,,,,,,,,,18,,,,102,de GER,DF,30,1987,14.3,,,,,,,,,,,,,,,,,,,,,117,de GER,DF,30,1987,18,1287,72,42.1,14.3,14,87,12,4,18,14,1.39,17,21,-4,-0.28,-0.43,102,de GER,DF,30,1987,14.3,3,0,0,25,25,0,0,18,19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
103,Clemens Fandrich,de GER,MF,Erzgebirge Aue,27,1991,32,30,2768,30.8,2,1,3,2,0,0,6,0,0.10,103,de GER,MF,27,1991,30.8,2,42,13,31.0,1.37,0.42,0.05,0.15,,0,0,103,de GER,MF,27,1991,30.8,,,,,,1,,,,,,103,de GER,MF,27,1991,30.8,,,,,,,29,,,,,,,,,103,de GER,MF,27,1991,30.8,,,,,,,,,,,103,de GER,MF,27,1991,30.8,,40,,,,,,,,,,40,,,,103,de GER,MF,27,1991,30.8,,,,,,,,,,,,,,,,,,,,,118,de GER,MF,27,1991,32,2768,87,90.5,30.8,30,89,28,2,45,0,1.25,41,40,+1,+0.03,+1.57,103,de GER,MF,27,1991,30.8,6,0,0,48,53,2,29,40,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
104,Arne Feick,de GER,DF,Heidenheim,30,1988,16,9,1033,11.5,2,0,2,2,0,0,2,0,0.17,104,de GER,DF,30,1988,11.5,2,16,5,31.3,1.39,0.44,0.13,0.40,,0,0,104,de GER,DF,30,1988,11.5,,,,,,0,,,,,,104,de GER,DF,30,1988,11.5,,,,,,,36,,,,,,,,,104,de GER,DF,30,1988,11.5,,,,,,,,,,,104,de GER,DF,30,1988,11.5,,11,,,,,,,,,,15,,,,104,de GER,DF,30,1988,11.5,,,,,,,,,,,,,,,,,,,,,119,de GER,DF,30,1988,16,1033,65,33.8,11.5,9,82,6,7,42,6,2.13,18,16,+2,+0.17,-0.18,104,de GER,DF,30,1988,11.5,2,0,0,11,17,1,36,15,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
105,Adrian Fein,de GER,MF,Jahn R'burg,19,1999,21,12,1022,11.4,0,2,2,0,0,0,3,0,0.18,105,de GER,MF,19,1999,11.4,0,15,2,13.3,1.32,0.18,0.00,0.00,,0,0,105,de GER,MF,19,1999,11.4,,,,,,2,,,,,,105,de GER,MF,19,1999,11.4,,,,,,,17,,,,,,,,,105,de GER,MF,19,1999,11.4,,,,,,,,,,,105,de GER,MF,19,1999,11.4,,17,,,,,,,,,,9,,,,105,de GER,MF,19,1999,11.4,,,,,,,,,,,,,,,,,,,,,120,de GER,MF,19,1999,21,1022,49,33.4,11.4,12,76,4,9,13,0,1.62,18,24,-6,-0.53,-0.84,105,de GER,MF,19,1999,11.4,3,0,0,14,12,1,17,9,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
106,Jasmin Fejzić,ba BIH,GK,Magdeburg,32,1986,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,106,ba BIH,GK,32,1986,4.0,0,0,0,,0.00,0.00,,,,0,0,106,ba BIH,GK,32,1986,4.0,,,,,,0,,,,,,106,ba BIH,GK,32,1986,4.0,,,,,,,0,,,,,,,,,106,ba BIH,GK,32,1986,4.0,,,,,,,,,,,106,ba BIH,GK,32,1986,4.0,,0,,,,,,,,,,0,,,,106,ba BIH,GK,32,1986,4.0,,,,,,,,,,,,,,,,,,,,,121,ba BIH,GK,32,1986,4,360,90,11.8,4.0,4,90,4,0,,11,0.50,3,5,-2,-0.50,+0.03,106,ba BIH,GK,32,1986,4.0,0,0,0,0,2,0,0,0,0,0,0,0,7,ba BIH,GK,32,1986,4,4,360,4.0,5,1.25,14,9,64.3,0,2,2,1,25.0,0,0,0,0,7,ba BIH,GK,32,1986,4.0,5,0,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
107,Johannes Flum,de GER,MF,St. Pauli,30,1987,21,18,1552,17.2,1,1,2,1,0,0,8,0,0.12,107,de GER,MF,30,1987,17.2,1,12,6,50.0,0.70,0.35,0.08,0.17,,0,0,107,de GER,MF,30,1987,17.2,,,,,,1,,,,,,107,de GER,MF,30,1987,17.2,,,,,,,1,,,,,,,,,107,de GER,MF,30,1987,17.2,,,,,,,,,,,107,de GER,MF,30,1987,17.2,,14,,,,,,,,,,23,,,,107,de GER,MF,30,1987,17.2,,,,,,,,,,,,,,,,,,,,,124,de GER,MF,30,1987,21,1552,74,50.7,17.2,18,83,8,3,20,2,1.50,24,32,-8,-0.46,-0.52,107,de GER,MF,30,1987,17.2,8,0,0,20,15,1,1,23,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
108,Jonas Föhrenbach,de GER,DF,Jahn R'burg,22,1996,26,26,2301,25.6,1,1,2,1,0,0,3,0,0.08,108,de GER,DF,22,1996,25.6,1,16,6,37.5,0.63,0.23,0.06,0.17,,0,0,108,de GER,DF,22,1996,25.6,,,,,,1,,,,,,108,de GER,DF,22,1996,25.6,,,,,,,75,,,,,,,,,108,de GER,DF,22,1996,25.6,,,,,,,,,,,108,de GER,DF,22,1996,25.6,,35,,,,,,,,,,35,,,,108,de GER,DF,22,1996,25.6,,,,,,,,,,,,,,,,,,,,,125,de GER,DF,22,1996,26,2301,89,75.2,25.6,26,89,24,0,,0,1.54,44,41,+3,+0.12,+0.35,108,de GER,DF,22,1996,25.6,3,0,0,26,32,2,75,35,35,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
109,Philipp Förster,de GER,"MF,FW",Sandhausen,23,1995,29,29,2381,26.5,5,3,8,5,0,0,11,0,0.30,109,de GER,"MF,FW",23,1995,26.5,5,43,14,32.6,1.63,0.53,0.12,0.36,,0,0,109,de GER,"MF,FW",23,1995,26.5,,,,,,3,,,,,,109,de GER,"MF,FW",23,1995,26.5,,,,,,,26,,,,,,,,,109,de GER,"MF,FW",23,1995,26.5,,,,,,,,,,,109,de GER,"MF,FW",23,1995,26.5,,44,,,,,,,,,,25,,,,109,de GER,"MF,FW",23,1995,26.5,,,,,,,,,,,,,,,,,,,,,126,de GER,"MF,FW",23,1995,29,2381,82,77.8,26.5,29,82,18,0,,1,1.21,33,38,-5,-0.19,+0.08,109,de GER,"MF,FW",23,1995,26.5,11,0,0,53,42,4,26,25,44,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
110,Marcel Franke,de GER,DF,Darmstadt 98,25,1993,25,25,2220,24.7,2,1,3,2,0,0,3,0,0.12,110,de GER,DF,25,1993,24.7,2,20,9,45.0,0.81,0.36,0.10,0.22,,0,0,110,de GER,DF,25,1993,24.7,,,,,,1,,,,,,110,de GER,DF,25,1993,24.7,,,,,,,6,,,,,,,,,110,de GER,DF,25,1993,24.7,,,,,,,,,,,110,de GER,DF,25,1993,24.7,,30,,,,,,,,,,33,,,,110,de GER,DF,25,1993,24.7,,,,,,,,,,,,,,,,,,,,,127,de GER,DF,25,1993,25,2220,89,72.5,24.7,25,89,23,0,,0,1.24,32,39,-7,-0.28,-0.18,110,de GER,DF,25,1993,24.7,3,0,0,18,17,1,6,33,30,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
111,Sebastian Freis,de GER,"MF,FW",Jahn R'burg,33,1985,4,3,231,2.6,0,1,1,0,0,0,0,0,0.39,111,de GER,"MF,FW",33,1985,2.6,0,8,2,25.0,3.12,0.78,0.00,0.00,,0,0,111,de GER,"MF,FW",33,1985,2.6,,,,,,1,,,,,,111,de GER,"MF,FW",33,1985,2.6,,,,,,,2,,,,,,,,,111,de GER,"MF,FW",33,1985,2.6,,,,,,,,,,,111,de GER,"MF,FW",33,1985,2.6,,4,,,,,,,,,,3,,,,111,de GER,"MF,FW",33,1985,2.6,,,,,,,,,,,,,,,,,,,,,128,de GER,"MF,FW",33,1985,4,231,58,7.5,2.6,3,69,0,1,25,6,1.00,5,6,-1,-0.39,-0.45,111,de GER,"MF,FW",33,1985,2.6,0,0,0,2,5,2,2,3,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
112,Marvin Friedrich,de GER,DF,Union Berlin,22,1995,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.00,112,de GER,DF,22,1995,34.0,0,24,6,25.0,0.71,0.18,0.00,0.00,,0,0,112,de GER,DF,22,1995,34.0,,,,,,0,,,,,,112,de GER,DF,22,1995,34.0,,,,,,,9,,,,,,,,,112,de GER,DF,22,1995,34.0,,,,,,,,,,,112,de GER,DF,22,1995,34.0,,36,,,,,,,,,,53,,,,112,de GER,DF,22,1995,34.0,,,,,,,,,,,,,,,,,,,,,129,de GER,DF,22,1995,34,3060,90,100.0,34.0,34,90,34,0,,0,1.68,54,33,+21,+0.62,,112,de GER,DF,22,1995,34.0,3,0,0,36,15,1,9,53,36,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
113,Lukas Fröde,de GER,"MF,DF",MSV Duisburg,23,1995,25,22,1934,21.5,2,0,2,2,0,0,9,1,0.09,113,de GER,"MF,DF",23,1995,21.5,2,25,6,24.0,1.16,0.28,0.08,0.33,,0,0,113,de GER,"MF,DF",23,1995,21.5,,,,,,0,,,,,,113,de GER,"MF,DF",23,1995,21.5,,,,,,,10,,,,,,,,,113,de GER,"MF,DF",23,1995,21.5,,,,,,,,,,,113,de GER,"MF,DF",23,1995,21.5,,21,,,,,,,,,,57,,,,113,de GER,"MF,DF",23,1995,21.5,,,,,,,,,,,,,,,,,,,,,130,de GER,"MF,DF",23,1995,25,1934,77,63.2,21.5,22,86,17,3,13,3,0.84,23,45,-22,-1.02,-0.70,113,de GER,"MF,DF",23,1995,21.5,9,1,0,34,41,1,10,57,21,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
114,Marius Funk,de GER,GK,Greuther Fürth,22,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,114,de GER,GK,22,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,114,de GER,GK,22,1996,1.0,,,,,,0,,,,,,114,de GER,GK,22,1996,1.0,,,,,,,0,,,,,,,,,114,de GER,GK,22,1996,1.0,,,,,,,,,,,114,de GER,GK,22,1996,1.0,,0,,,,,,,,,,0,,,,114,de GER,GK,22,1996,1.0,,,,,,,,,,,,,,,,,,,,,131,de GER,GK,22,1996,1,90,90,2.9,1.0,1,90,1,0,,32,3.00,2,1,+1,+1.00,+1.61,114,de GER,GK,22,1996,1.0,0,0,0,0,0,0,0,0,0,0,0,0,8,de GER,GK,22,1996,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,8,de GER,GK,22,1996,1.0,1,0,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
115,Lucas Galvão,br BRA,DF,Ingolstadt 04,27,1991,9,9,707,7.9,0,0,0,0,0,0,2,1,0.00,115,br BRA,DF,27,1991,7.9,0,3,1,33.3,0.38,0.13,0.00,0.00,,0,0,115,br BRA,DF,27,1991,7.9,,,,,,0,,,,,,115,br BRA,DF,27,1991,7.9,,,,,,,8,,,,,,,,,115,br BRA,DF,27,1991,7.9,,,,,,,,,,,115,br BRA,DF,27,1991,7.9,,10,,,,,,,,,,20,,,,115,br BRA,DF,27,1991,7.9,,,,,,,,,,,,,,,,,,,,,133,br BRA,DF,27,1991,9,707,79,23.1,7.9,9,79,7,0,,0,0.56,9,17,-8,-1.02,-0.87,115,br BRA,DF,27,1991,7.9,2,1,1,12,11,0,8,20,10,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
116,Silvère Ganvoula M'Boussy,cg CGO,FW,Bochum,22,1996,21,5,635,7.1,5,1,6,4,1,1,4,2,0.71,116,cg CGO,FW,22,1996,7.1,5,32,12,37.5,4.54,1.70,0.13,0.33,,1,1,116,cg CGO,FW,22,1996,7.1,,,,,,1,,,,,,116,cg CGO,FW,22,1996,7.1,,,,,,,9,,,,,,,,,116,cg CGO,FW,22,1996,7.1,,,,,,,,,,,116,cg CGO,FW,22,1996,7.1,,2,,,,,,,,,,0,,,,116,cg CGO,FW,22,1996,7.1,,,,,,,,,,,,,,,,,,,,,134,cg CGO,FW,22,1996,21,635,30,20.8,7.1,5,71,2,16,18,7,1.38,13,10,+3,+0.43,+0.57,116,cg CGO,FW,22,1996,7.1,4,2,1,11,7,10,9,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
117,Christian Gartner,at AUT,MF,MSV Duisburg,24,1994,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,117,at AUT,MF,24,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,117,at AUT,MF,24,1994,0.3,,,,,,0,,,,,,117,at AUT,MF,24,1994,0.3,,,,,,,1,,,,,,,,,117,at AUT,MF,24,1994,0.3,,,,,,,,,,,117,at AUT,MF,24,1994,0.3,,0,,,,,,,,,,0,,,,117,at AUT,MF,24,1994,0.3,,,,,,,,,,,,,,,,,,,,,135,at AUT,MF,24,1994,2,27,14,0.9,0.3,0,,0,2,13,1,0.00,0,1,-1,-3.33,-2.59,117,at AUT,MF,24,1994,0.3,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
118,Marcel Gaus,de GER,"DF,MF",Ingolstadt 04,28,1989,20,15,1316,14.6,3,1,4,3,0,0,8,0,0.27,118,de GER,"DF,MF",28,1989,14.6,3,18,5,27.8,1.23,0.34,0.17,0.60,,0,0,118,de GER,"DF,MF",28,1989,14.6,,,,,,1,,,,,,118,de GER,"DF,MF",28,1989,14.6,,,,,,,26,,,,,,,,,118,de GER,"DF,MF",28,1989,14.6,,,,,,,,,,,118,de GER,"DF,MF",28,1989,14.6,,28,,,,,,,,,,33,,,,118,de GER,"DF,MF",28,1989,14.6,,,,,,,,,,,,,,,,,,,,,136,de GER,"DF,MF",28,1989,20,1316,66,43.0,14.6,15,83,12,5,15,10,1.30,25,25,0,0.00,+0.62,118,de GER,"DF,MF",28,1989,14.6,8,0,0,33,19,0,26,33,28,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
119,Andreas Geipl,de GER,MF,Jahn R'burg,26,1992,31,31,2657,29.5,1,5,6,1,0,1,9,0,0.20,119,de GER,MF,26,1992,29.5,1,28,6,21.4,0.95,0.20,0.04,0.17,,0,1,119,de GER,MF,26,1992,29.5,,,,,,5,,,,,,119,de GER,MF,26,1992,29.5,,,,,,,177,,,,,,,,,119,de GER,MF,26,1992,29.5,,,,,,,,,,,119,de GER,MF,26,1992,29.5,,67,,,,,,,,,,63,,,,119,de GER,MF,26,1992,29.5,,,,,,,,,,,,,,,,,,,,,138,de GER,MF,26,1992,31,2657,86,86.8,29.5,31,86,21,0,,1,1.52,45,42,+3,+0.10,+0.55,119,de GER,MF,26,1992,29.5,9,0,0,70,58,2,177,63,67,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
120,Johannes Geis,de GER,"MF,DF",Köln,24,1993,14,13,1121,12.5,0,5,5,0,0,0,1,0,0.40,120,de GER,"MF,DF",24,1993,12.5,0,23,5,21.7,1.85,0.40,0.00,0.00,,0,0,120,de GER,"MF,DF",24,1993,12.5,,,,,,5,,,,,,120,de GER,"MF,DF",24,1993,12.5,,,,,,,77,,,,,,,,,120,de GER,"MF,DF",24,1993,12.5,,,,,,,,,,,120,de GER,"MF,DF",24,1993,12.5,,9,,,,,,,,,,16,,,,120,de GER,"MF,DF",24,1993,12.5,,,,,,,,,,,,,,,,,,,,,139,de GER,"MF,DF",24,1993,14,1121,80,36.6,12.5,13,85,10,1,16,2,1.71,25,15,+10,+0.80,-0.45,120,de GER,"MF,DF",24,1993,12.5,1,0,0,22,15,1,77,16,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
121,Vincent Gembalies,de GER,DF,MSV Duisburg,18,2000,3,1,152,1.7,0,0,0,0,0,0,0,0,0.00,121,de GER,DF,18,2000,1.7,0,1,0,0.0,0.59,0.00,0.00,,,0,0,121,de GER,DF,18,2000,1.7,,,,,,0,,,,,,121,de GER,DF,18,2000,1.7,,,,,,,0,,,,,,,,,121,de GER,DF,18,2000,1.7,,,,,,,,,,,121,de GER,DF,18,2000,1.7,,2,,,,,,,,,,1,,,,121,de GER,DF,18,2000,1.7,,,,,,,,,,,,,,,,,,,,,140,de GER,DF,18,2000,3,152,51,5.0,1.7,1,91,1,2,31,6,0.33,2,4,-2,-1.18,-0.44,121,de GER,DF,18,2000,1.7,0,0,0,2,0,0,0,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
122,Jann George,us USA,MF,Jahn R'burg,26,1992,32,27,2345,26.1,5,2,7,4,1,2,3,1,0.23,122,us USA,MF,26,1992,26.1,5,56,19,33.9,2.15,0.73,0.07,0.21,,1,2,122,us USA,MF,26,1992,26.1,,,,,,2,,,,,,122,us USA,MF,26,1992,26.1,,,,,,,75,,,,,,,,,122,us USA,MF,26,1992,26.1,,,,,,,,,,,122,us USA,MF,26,1992,26.1,,24,,,,,,,,,,17,,,,122,us USA,MF,26,1992,26.1,,,,,,,,,,,,,,,,,,,,,141,us USA,MF,26,1992,32,2345,73,76.6,26.1,27,83,14,5,19,1,1.41,42,37,+5,+0.19,+0.70,122,us USA,MF,26,1992,26.1,3,1,1,41,49,5,75,17,24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
123,Hamadi Al Ghaddioui,ma MAR,FW,Jahn R'burg,27,1990,33,20,1906,21.2,11,6,17,10,1,1,4,0,0.76,123,ma MAR,FW,27,1990,21.2,11,57,24,42.1,2.69,1.13,0.18,0.42,,1,1,123,ma MAR,FW,27,1990,21.2,,,,,,6,,,,,,123,ma MAR,FW,27,1990,21.2,,,,,,,14,,,,,,,,,123,ma MAR,FW,27,1990,21.2,,,,,,,,,,,123,ma MAR,FW,27,1990,21.2,,17,,,,,,,,,,7,,,,123,ma MAR,FW,27,1990,21.2,,,,,,,,,,,,,,,,,,,,,142,ma MAR,FW,27,1990,33,1906,58,62.3,21.2,20,87,16,13,12,1,1.48,33,34,-1,-0.05,-0.20,123,ma MAR,FW,27,1990,21.2,4,0,0,63,36,14,14,7,17,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
